henoch;schonlein;purpura;chronic;myelomonocytic;leukemia
Total_number_of_articles;76067
>11261686;First_Filter=PASSED;Last_filter=FAILED
>11234671;First_Filter=FAILED;Last_filter=FAILED
>11233523;First_Filter=PASSED;Last_filter=FAILED
>11231337;First_Filter=PASSED;Last_filter=FAILED
>11225384;First_Filter=FAILED;Last_filter=FAILED
>11219122;First_Filter=PASSED;Last_filter=FAILED
>11215203;First_Filter=PASSED;Last_filter=FAILED
>11176655;First_Filter=PASSED;Last_filter=FAILED
>11174307;First_Filter=PASSED;Last_filter=FAILED
>11168950;First_Filter=PASSED;Last_filter=FAILED
>11159296;First_Filter=PASSED;Last_filter=FAILED
>11158501;First_Filter=PASSED;Last_filter=FAILED
>11158218;First_Filter=PASSED;Last_filter=FAILED
>10752761;First_Filter=PASSED;Last_filter=FAILED
>11149126;First_Filter=PASSED;Last_filter=FAILED
>11148713;First_Filter=PASSED;Last_filter=FAILED
>11141420;First_Filter=FAILED;Last_filter=FAILED
>11138351;First_Filter=PASSED;Last_filter=FAILED
>11138325;First_Filter=PASSED;Last_filter=FAILED
>11123094;First_Filter=PASSED;Last_filter=FAILED
>11123091;First_Filter=PASSED;Last_filter=FAILED
>11111406;First_Filter=FAILED;Last_filter=FAILED
>11104171;First_Filter=PASSED;Last_filter=FAILED
>11101753;First_Filter=PASSED;Last_filter=FAILED
>11096201;First_Filter=PASSED;Last_filter=FAILED
>11095020;First_Filter=PASSED;Last_filter=FAILED
>11091287;First_Filter=PASSED;Last_filter=FAILED
>11087785;First_Filter=PASSED;Last_filter=FAILED
>11081341;First_Filter=FAILED;Last_filter=FAILED
>11075593;First_Filter=FAILED;Last_filter=FAILED
>11075047;First_Filter=PASSED;Last_filter=FAILED
>11072618;First_Filter=PASSED;Last_filter=FAILED
>11068774;First_Filter=FAILED;Last_filter=FAILED
>11060384;First_Filter=FAILED;Last_filter=FAILED
>11045035;First_Filter=FAILED;Last_filter=FAILED
>11031955;First_Filter=FAILED;Last_filter=FAILED
>11021174;First_Filter=FAILED;Last_filter=FAILED
>11009295;First_Filter=PASSED;Last_filter=FAILED
>11007828;First_Filter=PASSED;Last_filter=FAILED
>10997386;First_Filter=PASSED;Last_filter=FAILED
>10990243;First_Filter=PASSED;Last_filter=FAILED
>10977812;First_Filter=PASSED;Last_filter=FAILED
>10968856;First_Filter=PASSED;Last_filter=FAILED
>19864714;First_Filter=PASSED;Last_filter=FAILED
>10941970;First_Filter=PASSED;Last_filter=FAILED
>10934812;First_Filter=PASSED;Last_filter=FAILED
>10927941;First_Filter=PASSED;Last_filter=FAILED
>10916778;First_Filter=FAILED;Last_filter=FAILED
>10924021;First_Filter=PASSED;Last_filter=FAILED
>10912443;First_Filter=PASSED;Last_filter=FAILED
>10904603;First_Filter=FAILED;Last_filter=FAILED
>10886142;First_Filter=PASSED;Last_filter=FAILED
>10897654;First_Filter=FAILED;Last_filter=FAILED
>10897246;First_Filter=PASSED;Last_filter=FAILED
>10873898;First_Filter=PASSED;Last_filter=FAILED
>10873871;First_Filter=PASSED;Last_filter=FAILED
>10872192;First_Filter=PASSED;Last_filter=FAILED
>10862218;First_Filter=PASSED;Last_filter=FAILED
>10859449;First_Filter=PASSED;Last_filter=FAILED
>10835128;First_Filter=PASSED;Last_filter=FAILED
>10834866;First_Filter=PASSED;Last_filter=FAILED
>10813317;First_Filter=PASSED;Last_filter=FAILED
>10798062;First_Filter=PASSED;Last_filter=FAILED
>10792806;First_Filter=PASSED;Last_filter=FAILED
>10790250;First_Filter=PASSED;Last_filter=FAILED
>10777129;First_Filter=PASSED;Last_filter=FAILED
>10775080;First_Filter=PASSED;Last_filter=FAILED
>10761551;First_Filter=FAILED;Last_filter=FAILED
>10743833;First_Filter=PASSED;Last_filter=FAILED
>10737012;First_Filter=FAILED;Last_filter=FAILED
>10735370;First_Filter=PASSED;Last_filter=FAILED
>10732728;First_Filter=PASSED;Last_filter=FAILED
>10720979;First_Filter=PASSED;Last_filter=FAILED
>10715710;First_Filter=PASSED;Last_filter=FAILED
>10709887;First_Filter=PASSED;Last_filter=FAILED
>10703246;First_Filter=PASSED;Last_filter=FAILED
>10703627;First_Filter=PASSED;Last_filter=FAILED
>10700695;First_Filter=PASSED;Last_filter=FAILED
>10695557;First_Filter=PASSED;Last_filter=FAILED
>10692269;First_Filter=PASSED;Last_filter=FAILED
>10692265;First_Filter=PASSED;Last_filter=FAILED
>10690230;First_Filter=FAILED;Last_filter=FAILED
>10676734;First_Filter=PASSED;Last_filter=FAILED
>10671029;First_Filter=PASSED;Last_filter=FAILED
>10663526;First_Filter=PASSED;Last_filter=FAILED
>10663512;First_Filter=PASSED;Last_filter=FAILED
>10662762;First_Filter=PASSED;Last_filter=FAILED
>10648674;First_Filter=PASSED;Last_filter=FAILED
>10640939;First_Filter=PASSED;Last_filter=FAILED
>10630446;First_Filter=PASSED;Last_filter=FAILED
>10630435;First_Filter=PASSED;Last_filter=FAILED
>10616688;First_Filter=PASSED;Last_filter=FAILED
>28790660;First_Filter=PASSED;Last_filter=FAILED
>10607763;First_Filter=PASSED;Last_filter=FAILED
>10603128;First_Filter=PASSED;Last_filter=FAILED
>10599641;First_Filter=PASSED;Last_filter=FAILED
>10541946;First_Filter=PASSED;Last_filter=FAILED
>10591792;First_Filter=FAILED;Last_filter=FAILED
>10589705;First_Filter=PASSED;Last_filter=FAILED
>10583167;First_Filter=PASSED;Last_filter=FAILED
>10576353;First_Filter=PASSED;Last_filter=FAILED
>10575422;First_Filter=PASSED;Last_filter=FAILED
>10570092;First_Filter=PASSED;Last_filter=FAILED
>10566835;First_Filter=PASSED;Last_filter=FAILED
>10534663;First_Filter=PASSED;Last_filter=FAILED
>10530056;First_Filter=PASSED;Last_filter=FAILED
>10526006;First_Filter=PASSED;Last_filter=FAILED
>10517691;First_Filter=PASSED;Last_filter=FAILED
>10516501;First_Filter=PASSED;Last_filter=FAILED
>10516492;First_Filter=PASSED;Last_filter=FAILED
>10502120;First_Filter=PASSED;Last_filter=FAILED
>10499071;First_Filter=PASSED;Last_filter=FAILED
>10494300;First_Filter=FAILED;Last_filter=FAILED
>10493688;First_Filter=PASSED;Last_filter=FAILED
>10493674;First_Filter=PASSED;Last_filter=FAILED
>10492137;First_Filter=PASSED;Last_filter=FAILED
>10468007;First_Filter=PASSED;Last_filter=FAILED
>10460944;First_Filter=PASSED;Last_filter=FAILED
>10460509;First_Filter=PASSED;Last_filter=FAILED
>10453182;First_Filter=PASSED;Last_filter=FAILED
>10452284;First_Filter=PASSED;Last_filter=FAILED
>10451889;First_Filter=FAILED;Last_filter=FAILED
>10440519;First_Filter=PASSED;Last_filter=FAILED
>10435887;First_Filter=PASSED;Last_filter=FAILED
>10424243;First_Filter=PASSED;Last_filter=FAILED
>10406408;First_Filter=PASSED;Last_filter=FAILED
>10405241;First_Filter=PASSED;Last_filter=FAILED
>10404823;First_Filter=PASSED;Last_filter=FAILED
>10401201;First_Filter=PASSED;Last_filter=FAILED
>10392264;First_Filter=PASSED;Last_filter=FAILED
>10392263;First_Filter=PASSED;Last_filter=FAILED
>10392260;First_Filter=PASSED;Last_filter=FAILED
>10392259;First_Filter=PASSED;Last_filter=FAILED
>10392257;First_Filter=PASSED;Last_filter=FAILED
>10381929;First_Filter=PASSED;Last_filter=FAILED
>10380044;First_Filter=PASSED;Last_filter=FAILED
>10361914;First_Filter=PASSED;Last_filter=FAILED
>10353418;First_Filter=PASSED;Last_filter=FAILED
>10330784;First_Filter=PASSED;Last_filter=FAILED
>10232432;First_Filter=PASSED;Last_filter=FAILED
>10231456;First_Filter=PASSED;Last_filter=FAILED
>10216879;First_Filter=FAILED;Last_filter=FAILED
>10210793;First_Filter=PASSED;Last_filter=FAILED
>10193847;First_Filter=PASSED;Last_filter=FAILED
>10193250;First_Filter=PASSED;Last_filter=FAILED
>10191346;First_Filter=PASSED;Last_filter=FAILED
>10097638;First_Filter=FAILED;Last_filter=FAILED
>10086951;First_Filter=PASSED;Last_filter=FAILED
>10070906;First_Filter=PASSED;Last_filter=FAILED
>10070905;First_Filter=PASSED;Last_filter=FAILED
>10069219;First_Filter=PASSED;Last_filter=FAILED
>10068706;First_Filter=PASSED;Last_filter=FAILED
>10052501;First_Filter=PASSED;Last_filter=FAILED
>10050078;First_Filter=PASSED;Last_filter=FAILED
>9972983;First_Filter=PASSED;Last_filter=FAILED
>9935275;First_Filter=PASSED;Last_filter=FAILED
>9890113;First_Filter=PASSED;Last_filter=FAILED
>9880740;First_Filter=PASSED;Last_filter=FAILED
>9875962;First_Filter=PASSED;Last_filter=FAILED
>9854604;First_Filter=PASSED;Last_filter=FAILED
>9844990;First_Filter=PASSED;Last_filter=FAILED
>9844059;First_Filter=PASSED;Last_filter=FAILED
>9833528;First_Filter=FAILED;Last_filter=FAILED
>9831006;First_Filter=PASSED;Last_filter=FAILED
>9821714;First_Filter=PASSED;Last_filter=FAILED
>9805179;First_Filter=PASSED;Last_filter=FAILED
>9797501;First_Filter=PASSED;Last_filter=FAILED
>9796584;First_Filter=PASSED;Last_filter=FAILED
>9794595;First_Filter=PASSED;Last_filter=FAILED
>9771392;First_Filter=PASSED;Last_filter=FAILED
>9767498;First_Filter=PASSED;Last_filter=FAILED
>9761523;First_Filter=PASSED;Last_filter=FAILED
>9751475;First_Filter=PASSED;Last_filter=FAILED
>9745880;First_Filter=PASSED;Last_filter=FAILED
>9744020;First_Filter=FAILED;Last_filter=FAILED
>9736232;First_Filter=PASSED;Last_filter=FAILED
>9721534;First_Filter=FAILED;Last_filter=FAILED
>9714985;First_Filter=PASSED;Last_filter=FAILED
>9714899;First_Filter=PASSED;Last_filter=FAILED
>9713395;First_Filter=PASSED;Last_filter=FAILED
>9707900;First_Filter=PASSED;Last_filter=FAILED
>9704658;First_Filter=PASSED;Last_filter=FAILED
>9693919;First_Filter=PASSED;Last_filter=FAILED
>9684524;First_Filter=PASSED;Last_filter=FAILED
>9682892;First_Filter=PASSED;Last_filter=FAILED
>9681125;First_Filter=PASSED;Last_filter=FAILED
>9667551;First_Filter=PASSED;Last_filter=FAILED
>9662855;First_Filter=FAILED;Last_filter=FAILED
>9656721;First_Filter=FAILED;Last_filter=FAILED
>9651087;First_Filter=PASSED;Last_filter=FAILED
>9643315;First_Filter=PASSED;Last_filter=FAILED
>9639945;First_Filter=FAILED;Last_filter=FAILED
>9630047;First_Filter=PASSED;Last_filter=FAILED
>9630046;First_Filter=PASSED;Last_filter=FAILED
>9615278;First_Filter=PASSED;Last_filter=FAILED
>9613868;First_Filter=PASSED;Last_filter=FAILED
>9613354;First_Filter=PASSED;Last_filter=FAILED
>9608342;First_Filter=PASSED;Last_filter=FAILED
>9607209;First_Filter=PASSED;Last_filter=FAILED
>9606788;First_Filter=PASSED;Last_filter=FAILED
>9599897;First_Filter=PASSED;Last_filter=FAILED
>9598892;First_Filter=PASSED;Last_filter=FAILED
>9595588;First_Filter=PASSED;Last_filter=FAILED
>9542239;First_Filter=FAILED;Last_filter=FAILED
>9581309;First_Filter=PASSED;Last_filter=FAILED
>9578800;First_Filter=PASSED;Last_filter=FAILED
>9572702;First_Filter=PASSED;Last_filter=FAILED
>9572689;First_Filter=PASSED;Last_filter=FAILED
>9568864;First_Filter=PASSED;Last_filter=FAILED
>9568852;First_Filter=PASSED;Last_filter=FAILED
>9557162;First_Filter=PASSED;Last_filter=FAILED
>9550663;First_Filter=PASSED;Last_filter=FAILED
>9544416;First_Filter=PASSED;Last_filter=FAILED
>9543574;First_Filter=PASSED;Last_filter=FAILED
>9543384;First_Filter=PASSED;Last_filter=FAILED
>9543383;First_Filter=PASSED;Last_filter=FAILED
>9509437;First_Filter=PASSED;Last_filter=FAILED
>9496814;First_Filter=PASSED;Last_filter=FAILED
>9489835;First_Filter=PASSED;Last_filter=FAILED
>9485070;First_Filter=PASSED;Last_filter=FAILED
>9481437;First_Filter=PASSED;Last_filter=FAILED
>9476271;First_Filter=PASSED;Last_filter=FAILED
>9469508;First_Filter=PASSED;Last_filter=FAILED
>9431712;First_Filter=PASSED;Last_filter=FAILED
>9385764;First_Filter=PASSED;Last_filter=FAILED
>9456018;First_Filter=PASSED;Last_filter=FAILED
>9452718;First_Filter=PASSED;Last_filter=FAILED
>9375892;First_Filter=PASSED;Last_filter=FAILED
>9448560;First_Filter=PASSED;Last_filter=FAILED
>9438659;First_Filter=PASSED;Last_filter=FAILED
>9438647;First_Filter=PASSED;Last_filter=FAILED
>9437905;First_Filter=FAILED;Last_filter=FAILED
>9436839;First_Filter=PASSED;Last_filter=FAILED
>9428463;First_Filter=PASSED;Last_filter=FAILED
>9427906;First_Filter=PASSED;Last_filter=FAILED
>9394311;First_Filter=PASSED;Last_filter=FAILED
>9394310;First_Filter=PASSED;Last_filter=FAILED
>9343495;First_Filter=PASSED;Last_filter=FAILED
>9339021;First_Filter=FAILED;Last_filter=FAILED
>9307864;First_Filter=PASSED;Last_filter=FAILED
>9324677;First_Filter=FAILED;Last_filter=FAILED
>10225749;First_Filter=PASSED;Last_filter=FAILED
>9345835;First_Filter=PASSED;Last_filter=FAILED
>9301369;First_Filter=PASSED;Last_filter=FAILED
>9287390;First_Filter=PASSED;Last_filter=FAILED
>9266193;First_Filter=PASSED;Last_filter=FAILED
>9260249;First_Filter=PASSED;Last_filter=FAILED
>9252913;First_Filter=PASSED;Last_filter=FAILED
>9412933;First_Filter=PASSED;Last_filter=FAILED
>9279172;First_Filter=PASSED;Last_filter=FAILED
>9287270;First_Filter=PASSED;Last_filter=FAILED
>9203185;First_Filter=PASSED;Last_filter=FAILED
>9186886;First_Filter=PASSED;Last_filter=FAILED
>9182890;First_Filter=PASSED;Last_filter=FAILED
>9158021;First_Filter=PASSED;Last_filter=FAILED
>9158017;First_Filter=PASSED;Last_filter=FAILED
>9412177;First_Filter=FAILED;Last_filter=FAILED
>9303907;First_Filter=FAILED;Last_filter=FAILED
>9220081;First_Filter=PASSED;Last_filter=FAILED
>9220077;First_Filter=PASSED;Last_filter=FAILED
>9220075;First_Filter=PASSED;Last_filter=FAILED
>9199985;First_Filter=PASSED;Last_filter=FAILED
>9153547;First_Filter=PASSED;Last_filter=FAILED
>9103147;First_Filter=PASSED;Last_filter=FAILED
>9107252;First_Filter=PASSED;Last_filter=FAILED
>19078127;First_Filter=PASSED;Last_filter=FAILED
>9187236;First_Filter=PASSED;Last_filter=FAILED
>9144126;First_Filter=PASSED;Last_filter=FAILED
>9141015;First_Filter=PASSED;Last_filter=FAILED
>9126029;First_Filter=PASSED;Last_filter=FAILED
>9126006;First_Filter=PASSED;Last_filter=FAILED
>9124152;First_Filter=PASSED;Last_filter=FAILED
>9124151;First_Filter=PASSED;Last_filter=FAILED
>9083294;First_Filter=PASSED;Last_filter=FAILED
>9099334;First_Filter=PASSED;Last_filter=FAILED
>9068765;First_Filter=PASSED;Last_filter=FAILED
>9034991;First_Filter=PASSED;Last_filter=FAILED
>9016903;First_Filter=PASSED;Last_filter=FAILED
>9072465;First_Filter=FAILED;Last_filter=FAILED
>9812564;First_Filter=FAILED;Last_filter=FAILED
>9433407;First_Filter=PASSED;Last_filter=FAILED
>9382169;First_Filter=PASSED;Last_filter=FAILED
>9381721;First_Filter=FAILED;Last_filter=FAILED
>9365726;First_Filter=FAILED;Last_filter=FAILED
>9277954;First_Filter=FAILED;Last_filter=FAILED
>9265041;First_Filter=FAILED;Last_filter=FAILED
>9200429;First_Filter=PASSED;Last_filter=FAILED
>9182455;First_Filter=FAILED;Last_filter=FAILED
>9131960;First_Filter=FAILED;Last_filter=FAILED
>9121602;First_Filter=FAILED;Last_filter=FAILED
>9092019;First_Filter=FAILED;Last_filter=FAILED
>9091100;First_Filter=FAILED;Last_filter=FAILED
>9057949;First_Filter=PASSED;Last_filter=FAILED
>9031803;First_Filter=PASSED;Last_filter=FAILED
>9002541;First_Filter=PASSED;Last_filter=FAILED
>8967701;First_Filter=PASSED;Last_filter=FAILED
>9014604;First_Filter=PASSED;Last_filter=FAILED
>9002298;First_Filter=PASSED;Last_filter=FAILED
>8997038;First_Filter=PASSED;Last_filter=FAILED
>8931347;First_Filter=PASSED;Last_filter=FAILED
>9074285;First_Filter=PASSED;Last_filter=FAILED
>8987051;First_Filter=PASSED;Last_filter=FAILED
>8941031;First_Filter=PASSED;Last_filter=FAILED
>8934178;First_Filter=PASSED;Last_filter=FAILED
>8917150;First_Filter=PASSED;Last_filter=FAILED
>8915239;First_Filter=PASSED;Last_filter=FAILED
>9156934;First_Filter=FAILED;Last_filter=FAILED
>8952319;First_Filter=FAILED;Last_filter=FAILED
>8929094;First_Filter=PASSED;Last_filter=FAILED
>8916300;First_Filter=PASSED;Last_filter=FAILED
>8912124;First_Filter=PASSED;Last_filter=FAILED
>8897572;First_Filter=PASSED;Last_filter=FAILED
>8927346;First_Filter=FAILED;Last_filter=FAILED
>8877944;First_Filter=PASSED;Last_filter=FAILED
>8784278;First_Filter=PASSED;Last_filter=FAILED
>8801702;First_Filter=FAILED;Last_filter=FAILED
>8935481;First_Filter=PASSED;Last_filter=FAILED
>8828356;First_Filter=FAILED;Last_filter=FAILED
>8816030;First_Filter=PASSED;Last_filter=FAILED
>8804997;First_Filter=FAILED;Last_filter=FAILED
>8681743;First_Filter=FAILED;Last_filter=FAILED
>8712229;First_Filter=PASSED;Last_filter=FAILED
>8677315;First_Filter=PASSED;Last_filter=FAILED
>8783109;First_Filter=PASSED;Last_filter=FAILED
>8752968;First_Filter=FAILED;Last_filter=FAILED
>9289715;First_Filter=FAILED;Last_filter=FAILED
>8926956;First_Filter=FAILED;Last_filter=FAILED
>8914365;First_Filter=PASSED;Last_filter=FAILED
>8639187;First_Filter=PASSED;Last_filter=FAILED
>8975219;First_Filter=FAILED;Last_filter=FAILED
>8744628;First_Filter=PASSED;Last_filter=FAILED
>8630124;First_Filter=PASSED;Last_filter=FAILED
>8744534;First_Filter=PASSED;Last_filter=FAILED
>8696922;First_Filter=PASSED;Last_filter=FAILED
>8696921;First_Filter=PASSED;Last_filter=FAILED
>8675737;First_Filter=PASSED;Last_filter=FAILED
>8604726;First_Filter=PASSED;Last_filter=FAILED
>8701246;First_Filter=FAILED;Last_filter=FAILED
>8720706;First_Filter=FAILED;Last_filter=FAILED
>8775738;First_Filter=PASSED;Last_filter=FAILED
>8775220;First_Filter=PASSED;Last_filter=FAILED
>18417915;First_Filter=PASSED;Last_filter=FAILED
>9082613;First_Filter=FAILED;Last_filter=FAILED
>9019840;First_Filter=FAILED;Last_filter=FAILED
>8938675;First_Filter=PASSED;Last_filter=FAILED
>8921929;First_Filter=PASSED;Last_filter=FAILED
>8903877;First_Filter=PASSED;Last_filter=FAILED
>8893175;First_Filter=PASSED;Last_filter=FAILED
>8883042;First_Filter=PASSED;Last_filter=FAILED
>8883024;First_Filter=PASSED;Last_filter=FAILED
>8882757;First_Filter=PASSED;Last_filter=FAILED
>8840629;First_Filter=PASSED;Last_filter=FAILED
>8834993;First_Filter=PASSED;Last_filter=FAILED
>8832595;First_Filter=PASSED;Last_filter=FAILED
>8819634;First_Filter=PASSED;Last_filter=FAILED
>8763098;First_Filter=FAILED;Last_filter=FAILED
>8677145;First_Filter=PASSED;Last_filter=FAILED
>8571941;First_Filter=PASSED;Last_filter=FAILED
>19078014;First_Filter=PASSED;Last_filter=FAILED
>19078013;First_Filter=PASSED;Last_filter=FAILED
>8801104;First_Filter=PASSED;Last_filter=FAILED
>8747576;First_Filter=PASSED;Last_filter=FAILED
>8747118;First_Filter=PASSED;Last_filter=FAILED
>8614597;First_Filter=PASSED;Last_filter=FAILED
>8587248;First_Filter=PASSED;Last_filter=FAILED
>10829954;First_Filter=PASSED;Last_filter=FAILED
>8592740;First_Filter=PASSED;Last_filter=FAILED
>8592739;First_Filter=PASSED;Last_filter=FAILED
>8537906;First_Filter=PASSED;Last_filter=FAILED
>7593800;First_Filter=PASSED;Last_filter=FAILED
>7493267;First_Filter=PASSED;Last_filter=FAILED
>7493266;First_Filter=PASSED;Last_filter=FAILED
>7481326;First_Filter=FAILED;Last_filter=FAILED
>8786506;First_Filter=PASSED;Last_filter=FAILED
>8580041;First_Filter=PASSED;Last_filter=FAILED
>8580040;First_Filter=PASSED;Last_filter=FAILED
>8580019;First_Filter=PASSED;Last_filter=FAILED
>7582700;First_Filter=PASSED;Last_filter=FAILED
>7567194;First_Filter=PASSED;Last_filter=FAILED
>7490687;First_Filter=PASSED;Last_filter=FAILED
>17590650;First_Filter=PASSED;Last_filter=FAILED
>8523240;First_Filter=PASSED;Last_filter=FAILED
>7502260;First_Filter=FAILED;Last_filter=FAILED
>8525388;First_Filter=PASSED;Last_filter=FAILED
>7497537;First_Filter=PASSED;Last_filter=FAILED
>7618766;First_Filter=PASSED;Last_filter=FAILED
>7586994;First_Filter=PASSED;Last_filter=FAILED
>8609441;First_Filter=PASSED;Last_filter=FAILED
>29211644;First_Filter=PASSED;Last_filter=FAILED
>7753737;First_Filter=PASSED;Last_filter=FAILED
>7615237;First_Filter=PASSED;Last_filter=FAILED
>7556249;First_Filter=PASSED;Last_filter=FAILED
>7780545;First_Filter=FAILED;Last_filter=FAILED
>7720465;First_Filter=PASSED;Last_filter=FAILED
>7620067;First_Filter=FAILED;Last_filter=FAILED
>7605305;First_Filter=PASSED;Last_filter=FAILED
>7541481;First_Filter=FAILED;Last_filter=FAILED
>8597821;First_Filter=PASSED;Last_filter=FAILED
>7838045;First_Filter=PASSED;Last_filter=FAILED
>7731488;First_Filter=PASSED;Last_filter=FAILED
>7604640;First_Filter=PASSED;Last_filter=FAILED
>7855946;First_Filter=PASSED;Last_filter=FAILED
>7847363;First_Filter=PASSED;Last_filter=FAILED
>7754763;First_Filter=PASSED;Last_filter=FAILED
>7742225;First_Filter=PASSED;Last_filter=FAILED
>7735449;First_Filter=FAILED;Last_filter=FAILED
>9638208;First_Filter=FAILED;Last_filter=FAILED
>9371977;First_Filter=PASSED;Last_filter=FAILED
>9282661;First_Filter=PASSED;Last_filter=FAILED
>8569993;First_Filter=PASSED;Last_filter=FAILED
>8538944;First_Filter=PASSED;Last_filter=FAILED
>7753269;First_Filter=PASSED;Last_filter=FAILED
>7711355;First_Filter=PASSED;Last_filter=FAILED
>7626558;First_Filter=PASSED;Last_filter=FAILED
>7622780;First_Filter=FAILED;Last_filter=FAILED
>7566573;First_Filter=PASSED;Last_filter=FAILED
>7478138;First_Filter=PASSED;Last_filter=FAILED
>7478130;First_Filter=PASSED;Last_filter=FAILED
>7992359;First_Filter=PASSED;Last_filter=FAILED
>8000763;First_Filter=PASSED;Last_filter=FAILED
>7871969;First_Filter=PASSED;Last_filter=FAILED
>7869696;First_Filter=PASSED;Last_filter=FAILED
>7850650;First_Filter=FAILED;Last_filter=FAILED
>7837573;First_Filter=FAILED;Last_filter=FAILED
>7696119;First_Filter=PASSED;Last_filter=FAILED
>7696118;First_Filter=PASSED;Last_filter=FAILED
>7962736;First_Filter=PASSED;Last_filter=FAILED
>7923914;First_Filter=PASSED;Last_filter=FAILED
>7848168;First_Filter=PASSED;Last_filter=FAILED
>7815746;First_Filter=FAILED;Last_filter=FAILED
>7815745;First_Filter=FAILED;Last_filter=FAILED
>8079978;First_Filter=PASSED;Last_filter=FAILED
>8001494;First_Filter=PASSED;Last_filter=FAILED
>8001323;First_Filter=PASSED;Last_filter=FAILED
>7993712;First_Filter=PASSED;Last_filter=FAILED
>7967184;First_Filter=FAILED;Last_filter=FAILED
>7967183;First_Filter=FAILED;Last_filter=FAILED
>7967182;First_Filter=FAILED;Last_filter=FAILED
>7967171;First_Filter=FAILED;Last_filter=FAILED
>7963359;First_Filter=PASSED;Last_filter=FAILED
>7918022;First_Filter=PASSED;Last_filter=FAILED
>7948124;First_Filter=FAILED;Last_filter=FAILED
>7933589;First_Filter=FAILED;Last_filter=FAILED
>7933575;First_Filter=FAILED;Last_filter=FAILED
>14688862;First_Filter=FAILED;Last_filter=FAILED
>8023818;First_Filter=PASSED;Last_filter=FAILED
>7965465;First_Filter=PASSED;Last_filter=FAILED
>7959641;First_Filter=PASSED;Last_filter=FAILED
>7955612;First_Filter=PASSED;Last_filter=FAILED
>7955610;First_Filter=PASSED;Last_filter=FAILED
>8205410;First_Filter=PASSED;Last_filter=FAILED
>8084073;First_Filter=FAILED;Last_filter=FAILED
>8029176;First_Filter=PASSED;Last_filter=FAILED
>7993592;First_Filter=PASSED;Last_filter=FAILED
>7988984;First_Filter=PASSED;Last_filter=FAILED
>7939469;First_Filter=PASSED;Last_filter=FAILED
>7938089;First_Filter=PASSED;Last_filter=FAILED
>7932429;First_Filter=PASSED;Last_filter=FAILED
>7917854;First_Filter=PASSED;Last_filter=FAILED
>8040590;First_Filter=PASSED;Last_filter=FAILED
>8013195;First_Filter=PASSED;Last_filter=FAILED
>7810276;First_Filter=PASSED;Last_filter=FAILED
>8018493;First_Filter=PASSED;Last_filter=FAILED
>8311370;First_Filter=PASSED;Last_filter=FAILED
>8175348;First_Filter=FAILED;Last_filter=FAILED
>8035758;First_Filter=FAILED;Last_filter=FAILED
>8157014;First_Filter=PASSED;Last_filter=FAILED
>8142215;First_Filter=PASSED;Last_filter=FAILED
>8129773;First_Filter=PASSED;Last_filter=FAILED
>8107910;First_Filter=FAILED;Last_filter=FAILED
>8287608;First_Filter=PASSED;Last_filter=FAILED
>8186004;First_Filter=FAILED;Last_filter=FAILED
>8180441;First_Filter=PASSED;Last_filter=FAILED
>8107349;First_Filter=FAILED;Last_filter=FAILED
>8107311;First_Filter=PASSED;Last_filter=FAILED
>8090348;First_Filter=PASSED;Last_filter=FAILED
>8084458;First_Filter=PASSED;Last_filter=FAILED
>8075461;First_Filter=PASSED;Last_filter=FAILED
>8032526;First_Filter=PASSED;Last_filter=FAILED
>8031676;First_Filter=PASSED;Last_filter=FAILED
>7992683;First_Filter=PASSED;Last_filter=FAILED
>7991017;First_Filter=PASSED;Last_filter=FAILED
>7906508;First_Filter=PASSED;Last_filter=FAILED
>7870356;First_Filter=PASSED;Last_filter=FAILED
>7847488;First_Filter=PASSED;Last_filter=FAILED
>7736145;First_Filter=FAILED;Last_filter=FAILED
>7710184;First_Filter=PASSED;Last_filter=FAILED
>7701720;First_Filter=FAILED;Last_filter=FAILED
>8233754;First_Filter=PASSED;Last_filter=FAILED
>8166403;First_Filter=FAILED;Last_filter=FAILED
>8130686;First_Filter=PASSED;Last_filter=FAILED
>8124921;First_Filter=PASSED;Last_filter=FAILED
>8308787;First_Filter=PASSED;Last_filter=FAILED
>8246378;First_Filter=PASSED;Last_filter=FAILED
>8160275;First_Filter=PASSED;Last_filter=FAILED
>17590721;First_Filter=PASSED;Last_filter=FAILED
>8258211;First_Filter=PASSED;Last_filter=FAILED
>8223813;First_Filter=PASSED;Last_filter=FAILED
>7690868;First_Filter=PASSED;Last_filter=FAILED
>8410873;First_Filter=PASSED;Last_filter=FAILED
>8343192;First_Filter=PASSED;Last_filter=FAILED
>8280218;First_Filter=PASSED;Last_filter=FAILED
>8104458;First_Filter=PASSED;Last_filter=FAILED
>8104457;First_Filter=PASSED;Last_filter=FAILED
>7721294;First_Filter=PASSED;Last_filter=FAILED
>8351133;First_Filter=FAILED;Last_filter=FAILED
>8374251;First_Filter=PASSED;Last_filter=FAILED
>8265258;First_Filter=PASSED;Last_filter=FAILED
>8519187;First_Filter=PASSED;Last_filter=FAILED
>8377631;First_Filter=PASSED;Last_filter=FAILED
>8350321;First_Filter=PASSED;Last_filter=FAILED
>8470863;First_Filter=PASSED;Last_filter=FAILED
>8366849;First_Filter=FAILED;Last_filter=FAILED
>8354000;First_Filter=PASSED;Last_filter=FAILED
>8334561;First_Filter=PASSED;Last_filter=FAILED
>8252167;First_Filter=PASSED;Last_filter=FAILED
